date,the_lie
May 1,"Well, we are protecting pre-existing conditions. And it'll be every good — bit as good on pre-existing conditions as Obamacare."
May 1,"The F-35 fighter jet — I saved — I got involved in the negotiation. It's 2,500 jets. I negotiated for 90 planes, lot 10. I got $725 million off the price."
May 1,"First of all, since I started running, they haven't increased their — you know, they have not manipulated their currency. I think that was out of respect to me and the campaign."
May 2,"I love buying those planes at a reduced price. I have been really — I have cut billions — I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here."
May 4,"Number two, they’re actually not a currency [manipulator]. You know, since I’ve been talking about currency manipulation with respect to them and other countries, they stopped."
May 4,We’re the highest-taxed nation in the world.
May 4,Nobody cares about my tax return except for the reporters.
May 8,You know we’ve gotten billions of dollars more in NATO than we’re getting. All because of me.
May 8,"But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he’s ever had."
May 8,"Director Clapper reiterated what everybody, including the fake media already knows — there is ‘no evidence’ of collusion w/ Russia and Trump."
May 12,"Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election."
May 12,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?"
May 13,I'm cutting the price of airplanes with Lockheed.
May 26,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.
June 1,"China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020."
June 1,"I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs."
June 4,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’
June 5,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C."
June 20,"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!"
June 21,They all say it's 'nonbinding.' Like hell it's nonbinding.
June 21,"Right now, we are one of the highest-taxed nations in the world."
June 21,"You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands."
June 21,Your insurance companies have all fled the state of Iowa.
June 21,"If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?"
June 21,"Gary Cohn just paid $200 million in tax in order to take this job, by the way."
June 21,We’re 5 and 0.
June 21,"Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades."
June 22,Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.
June 23,We are 5 and 0 ... in these special elections.
June 27,Ratings way down!
June 28,Democrats purposely misstated Medicaid under new Senate bill — actually goes up.
June 29,"General Kelly and his whole group — they’ve gotten rid of 6,000 so far."
July 6,"As a result of this insistence, billions of dollars more have begun to pour into NATO."
July 17,"We’ve signed more bills — and I’m talking about through the legislature — than any president, ever."
July 19,"Um, the Russian investigation — it’s not an investigation, it’s not on me — you know, they’re looking at a lot of things."
July 19,"I heard that Harry Truman was first, and then we beat him. These are approved by Congress. These are not just executive orders."
July 19,"But the F.B.I. person really reports directly to the president of the United States, which is interesting."
July 19,"She did the uranium deal, which is a horrible thing, while she was secretary of state, and got a lot of money."
July 24,"It looks like about 45,000 people. You set a record today."
July 25,"We have the highest taxes anywhere in the world, and this will really bring them down to one of the lowest."
July 25,We’re the highest-taxed nation in the world
July 25,We have nearly doubled the number of veterans given approvals to see the doctor of their choice.
July 25,Since I took office we have cut illegal immigration on our southern border by record numbers. 78 percent.
July 28,"The previous administration enacted an open-door policy to illegal migrants from Central America.  ""Welcome in. Come in, please, please."
July 28,We have trade deficits with almost every country because we had a lot of really bad negotiators making deals with other countries.
July 31,2.6 is a number that nobody thought they’d see for a long period of time.
July 31,"And even the President of Mexico called me  – they said their southern border, very few people are coming because they know they’re not going to get through our border, which is the ultimate compliment."
Aug. 1,"And I think to me, maybe the biggest is that GDP for the quarter just released at 2.6 percent. So that's so much higher than anticipated."
Aug. 3,Economic growth has surged to 2.6% nationwide. You have to understand what that means. Nobody thought that number was going to happen.
Aug. 3,The Russia story is a total fabrication.
Aug. 3,Or let them look at the uranium she sold that is now in the hands of very angry Russians.
Aug. 15,"We want products made in the country. Now, I have to tell you, some of the folks that will leave, they're leaving out of embarrassment because they make their products outside."
Aug. 22,"Remember, everybody said you won’t bring it up to 1 percent. You won’t bring it up to 1.2 percent."
Aug. 22,"I mean truly dishonest people in the media and the fake media, they make up stories. They have no sources in many cases. They say 'a source says'  – there is no such thing."
Aug. 22,"As everybody here remembers, this was the scene of my first rally speech, right?"
Aug. 22,We have become an energy exporter for the first time ever just recently.
Aug. 22,"Look back there, the live red lights. They're turning those suckers off fast out there. They're turning those lights off fast. Like CNN."
Sept. 6,The taxes are crazy  – the highest-taxed nation in the world.
Sept. 6,We are the highest taxed nation in the world - that will change.
Sept. 8,"Our incredible U.S. Coast Guard saved more than 15,000 lives last week with Harvey."
Sept. 14,"Also with the fact that I know in the case of FEMA and the case of Coast Guard, the job you've done in saving people, saving lives.  As an example, in Harvey in Texas, we talked  – over 16,000 lives."
Sept. 14,And in Florida you got hit with the strongest winds ever recorded.
Sept. 22,"We've been dealing with ICE, we've been dealing with the Border Patrol. They both endorsed me."
Sept. 22,"So he started off here, he was in third or fourth, he went to third, second, and now it's like almost pretty even."
Sept. 29,"With the F-35 fighter plane  – me, myself  – I've saved hundreds of millions of dollars in negotiating."
Sept. 27,"I’m doing the right thing, and it’s not good for me."
Sept. 27,"To protect millions of small businesses and the American farmer, we are finally ending the crushing, the horrible, the unfair estate tax."
Sept. 27,"No, I don't benefit. I don't benefit. In fact, very very strongly, as you see, I think there's very little benefit for people of wealth."
Sept. 27,"Facebook was always anti-Trump.The Networks were always anti-Trump hence,Fake News, @nytimes(apologized) & @WaPo were anti-Trump."
Sept. 28,"I mean right now, we're the highest-taxed nation in the world."
Oct. 3,"But the Coast Guard itself saved in Texas 16,000 lives, and they went right through that hurricane."
Oct. 3,"But that's an expensive plane that you can't see. And as you probably heard, we cut the price very substantially  – something that other administrations would never have done, that I can tell you."
Oct. 6,I was able to reduce the price of the Lockheed by billions of dollars.
Oct. 6,"We're the highest-taxed developed nation in the world, probably the highest-taxed nation in the world."
Oct. 6,They also just said that there has been absolutely no collusion. They just said that. Yesterday. Two days ago. Senate. There has been no collusion.
Oct. 6,"This tax cut and tax reform is going very well, and it's going to be a tremendous boost for our country, including the fact that we're the highest-taxed nation in the world."
Oct. 7,We're the highest-taxed nation in the world.
Oct. 7,"The Coast Guard, in Texas, and all over, but with the job they did in Texas, I saw, they saved 16,000 lives."
Oct. 7,Obama should have never gotten out the way he got out. That's how ISIS formed.
Oct. 10,"The Failing @nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!"
Oct. 10,We're the highest-taxed nation in the world.
Oct. 11,"We have missiles that can knock out a missile in the air. Ninety seven per cent of the time. If you send two of them, it's going to get knocked out."
Oct. 16,We're the highest-taxed country in the world.
Oct. 16,I hear that Ireland is going to be reducing their corporate rates down to 8 percent from 12.
Oct. 16,"If you look at President Obama and other presidents, most of them didn’t make calls."
Oct. 16,"All I can say is it's totally fake news, just fake. It's fake. It's made-up stuff, and it's disgraceful what happens, but that happens in the world of politics."
Oct. 17,We're the highest taxed nation in the world.
Oct. 17,"Right now, we are the highest-taxed nation anywhere in the world. You can even say developed or undeveloped."
Oct. 17,"As far as I'm concerned, I think we're really essentially the highest. But if you'd like to add the developed nation, you can say that, too."
Oct. 17,We're the highest-taxed nation in the world. We are taxed beyond belief.
Oct. 17,"Well, we're the highest-taxed nation in the world."
Oct. 17,I wish President Obama didn't get out the way he got out. Because that left a vacuum and ISIS was formed.
Oct. 18,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof).
Oct. 18,"The Coast Guard in Texas saved 16,000 lives."
Oct. 18,Nobody has ever heard of a five hitting land.
Oct. 24,"Under our plan, more than 30 million Americans who own small businesses will get a 40 per cent cut to their top marginal tax rate."
Oct. 25,We have trade deficits with almost everybody.
Oct. 27,"Wacky & totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!"
Nov. 1,"Again, we're the highest-taxed nation, just about, in the world."
Nov. 7,"When you look at the city with the strongest gun laws in our nation, it's Chicago."
Nov. 11,"I'd rather have him  – you know, work with him on the Ukraine than standing and arguing about whether or not  – because that whole thing was set up by the Democrats."
